번호,사무소명,사무소주소,영업현황
201,뉴재벌공인중개사사무소,"대전광역시 서구 계백로860번길 72, 1층 102호(관저동)",영업중
202,관저월드공인중개사사무소,"대전광역시 서구 관저남로25번길 13, 1층 102호(관저동)",영업중
203,한울공인중개사사무소,"대전광역시 서구 배재로 152, 2층 (도마1동)",영업중
204,어울림공인중개사사무소,"대전광역시 서구 계룡로553번안길 37, 1층(탄방동)",영업중
205,삼성랜드공인중개사사무소,대전광역시 서구 괴정로 149(용문동),영업중
206,관저리슈빌공인중개사사무소,"대전광역시 서구 관저동로90번길 15, 상가동 101호(관저동,관저리슈빌아파트)",영업중
207,용문랜드공인중개사사무소,대전광역시 서구 용문로 93-1(용문동),영업중
208,부자나라공인중개사사무소,"대전광역시 서구 신갈마로 223, 1층(갈마1동)",영업중
209,새한마루공인중개사사무소,"대전광역시 서구 둔산북로 160, 상가 103호(둔산1동,삼성한마루(아))",영업중
210,신세계공인중개사사무소,"대전광역시 서구 관저로 46, 상가 104호(관저2동,구봉마을7단지)",영업중
211,백목련공인중개사사무소,"대전광역시 서구 정림서로138번길 21, 상가 101호(정림동,백목련(아))",영업중
212,현민공인중개사사무소,대전광역시 서구 남선로59번길 4(탄방동),영업중
213,해와달공인중개사사무소,"대전광역시 서구 신갈마로181번길 20, 1층 101호(갈마동)",영업중
214,무지개타운공인중개사사무소,"대전광역시 서구 청사서로 11, 상가 112호 (월평2동, 무지개(아))",영업중
215,용문공인중개사사무소,대전광역시 서구 괴정로133번길 52(용문동),영업중
216,월평주공공인중개사사무소,"대전광역시 서구 월평북로 11, 상가 104호 (월평2동, 주공2단지)",영업중
217,일신공인중개사사무소,대전광역시 서구 도산로 35(도마1동),영업중
218,으뜸공인중개사사무소,대전광역시 서구 월평로 29(월평1동),영업중
219,한가람공인중개사사무소,"대전광역시 서구 문예로 16, 상가103호(탄방동,한가람(아))",영업중
220,도시공인중개사사무소,"대전광역시 서구 청사서로 54, 1층(월평2동)",영업중
221,우진공인중개사사무소,"대전광역시 서구 복수중로 38, B상가 102호(복수동,목화(아))",영업중
222,백경공인중개사사무소,"대전광역시 서구 만년남로 8, 상가114호(만년동,상록수(아))",영업중
223,신화공인중개사사무소,"대전광역시 서구 용문로 44-1, 1층(괴정동)",영업중
224,마트공인중개사사무소,"대전광역시 서구 둔산로 201, 동성상가105호(둔산3동,국화(아))",영업중
225,나경공인중개사사무소,대전광역시 서구 신갈마로 125(갈마1동),영업중
226,향촌공인중개사사무소,"대전광역시 서구 둔산로 15, 상가 110호 (둔산2동, 향촌(아))",영업중
227,계룡랜드공인중개사사무소,"대전광역시 서구 계룡로603번길 17, 지하 1층(탄방동)",영업중
228,삼성공인중개사사무소,"대전광역시 서구 청사서로 41, 상가108호(월평2동,백합(아))",영업중
229,녹원타운공인중개사사무소,"대전광역시 서구 둔산남로 30, 상가107호 (둔산2동,녹원(아))",영업중
230,메이저공인중개사사무소,"대전광역시 서구 문정로2번길 51, 1층 124호(탄방동, 시티빌3차)",영업중
231,시원공인중개사사무소,"대전광역시 서구 도안중로305번안길 1, 1층(도안동)",영업중
232,리슈빌공인중개사사무소,"대전광역시 서구 복수동로51번길 43, 상가 102호(복수동,계룡리슈빌)",영업중
233,기성공인중개사사무소,대전광역시 서구 벌곡로 1369-4(가수원동),영업중
234,현공인중개사사무소,"대전광역시 서구 둔산중로 66, 103호 (둔산1동, 메트로팰리스)",영업중
235,갑부공인중개사사무소,대전광역시 서구 도산로 367(용문동),영업중
236,월평타운공인중개사사무소,"대전광역시 서구 계룡로264번길 4, 상가 110호 (월평1동, 월평타운)",영업중
237,KT공인중개사사무소,대전광역시 서구 갈마로 204(내동),영업중
238,큰마을공인중개사사무소,"대전광역시 서구 대덕대로 150, 상가 148동 201호(갈마동, 큰마을아파트)",영업중
239,행복한엘드공인중개사사무소,"대전광역시 서구 도안동로 177, 상가117호(도안동,수목토(아))",영업중
240,매그놀리아우림공인중개사사무소,"대전광역시 서구 청사로 148, 103호(둔산동)",영업중
241,신나라공인중개사사무소,"대전광역시 서구 도안북로117번길 12, 1층 102호(도안동)",영업중
242,나비가플러스공인중개사사무소,"대전광역시 서구 둔산중로14번길 36, 119호(탄방동, 하이플러스)",영업중
243,수목토114공인중개사사무소,"대전광역시 서구 도안동로 177, 상가 109호",영업중
244,뉴베스트공인중개사사무소,"대전광역시 서구 동서대로 1045, 101호",영업중
245,강변랜드공인중개사사무소,"대전광역시 서구 만년로 25, 상가 110호(만년동,강변(아))",영업중
246,부자공인중개사사무소,"대전광역시 서구 대덕대로 150, 상가 148동 239호(갈마2동,큰마을(아))",영업중
247,한마음공인중개사사무소,"대전광역시 서구 관저동로 66, 107호 (관저2동, 애드피아빌딩)",영업중
248,수지공인중개사사무소,"대전광역시 서구 도안북로93번길 20-24, 102호",영업중
249,포스빌공인중개사사무소,"대전광역시 서구 대덕대로167번길 53, 지1층 4호(갈마2동, 포스빌(아))",영업중
250,관저드림공인중개사사무소,"대전광역시 서구 계백로828번길 20, 1층 102호(관저동)",영업중
251,궁전공인중개사사무소,"대전광역시 서구 대덕대로 150, 분산상가 149동 104호(갈마2동,큰마을(아))",영업중
252,월평행운2공인중개사사무소,"대전광역시 서구 청사로 65, 상가 107호(월평동, 황실타운)",영업중
253,천일공인중개사사무소,대전광역시 서구 변동로 61(변동),영업중
254,원앙타운공인중개사사무소,"대전광역시 서구 관저북로 92, 상가101호 (관저1동, 원앙마을2단지)",영업중
